PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r250c,k,cr625r1875f,,Qh7dJc7s4d2c2h7h,625|-625,DeepStack,shabalin.ivan.2 
k,cr200c,cr600f,,3s5s5h9sAh7h6d8c,-200|200,shabalin.ivan.2,DeepStack 
k,cr250f,,,9h5s5d7cAs4c3c,-100|100,DeepStack,shabalin.ivan.2 
r300c,k,k,k,As6cAc9s6h4c3hJdQd,300|-300,shabalin.ivan.2,DeepStack 
k,k,cr300c,k,2cTc8c7d3hTd5sKdJh,300|-300,DeepStack,shabalin.ivan.2 
r300r900f,,,,AhAc9c6s,300|-300,shabalin.ivan.2,DeepStack 
r250f,,,,9c4hAdAc,-100|100,DeepStack,shabalin.ivan.2 
r200c,cr600c,k,cr1200c,6dQcQsTd3h6c7dAc8s,1200|-1200,shabalin.ivan.2,DeepStack 
k,cr300f,,,Qs2h3s2sTc5c3c,-100|100,DeepStack,shabalin.ivan.2 
k,r300f,,,2hJh8dQd3sJs9c,100|-100,shabalin.ivan.2,DeepStack 
k,cr300c,k,r600f,8sKdTc5h4dQsJhKc3d,300|-300,DeepStack,shabalin.ivan.2 
cr300f,,,,9cAcTc4h,100|-100,shabalin.ivan.2,DeepStack 
k,cr300c,k,r600c,3sKhQs7dKdAhQhAd5d,600|-600,DeepStack,shabalin.ivan.2 
r200r600c,r1500f,,,4hAh2c2s5dJh7h,600|-600,shabalin.ivan.2,DeepStack 
k,cr300f,,,9h6dTs6hKhAd2h,-100|100,DeepStack,shabalin.ivan.2 
r300c,cr600c,r1500c,k,5d5s9d7c4s7d3d8dQd,-1500|1500,shabalin.ivan.2,DeepStack 
k,cr300r600c,k,r1200c,2dJh2cQhKsKdKh6cQc,-1200|1200,DeepStack,shabalin.ivan.2 
r300f,,,,4d2dKsQd,-100|100,shabalin.ivan.2,DeepStack 
f,,,,5dJc5h2s,50|-50,DeepStack,shabalin.ivan.2 
cr300c,r750f,,,Jh8d5s9s7cTdAh,300|-300,shabalin.ivan.2,DeepStack 
r250c,cr650c,r1300f,,6cKhKs4cQc6s3d6d,650|-650,DeepStack,shabalin.ivan.2 
r300f,,,,Ks2h4d7d,-100|100,shabalin.ivan.2,DeepStack 
cr300c,r600c,r1200c,cr3200f,ThJh7hJd5d8h4h5cQd,-1200|1200,DeepStack,shabalin.ivan.2 
cr300c,r750c,r1875f,,3sAdJsThAsKd9sAh,750|-750,shabalin.ivan.2,DeepStack 
cr300c,r600r1800c,r3600r10800f,,JsAs4c5c3c7s6s7c,-3600|3600,DeepStack,shabalin.ivan.2 
r300f,,,,6hJhJc6d,-100|100,shabalin.ivan.2,DeepStack 
r250c,k,cr625c,cr925c,5hAc8s9sQhJc3dQd2d,925|-925,DeepStack,shabalin.ivan.2 
r300f,,,,Jh6hKsTs,-100|100,shabalin.ivan.2,DeepStack 
k,k,r200c,r400c,6cJd4d7c2cKc6d4h6h,400|-400,DeepStack,shabalin.ivan.2 
r200r600f,,,,JdTdKh5s,200|-200,shabalin.ivan.2,DeepStack 
cr300c,r900f,,,JhAh4s6hAd9cJd,300|-300,DeepStack,shabalin.ivan.2 
r300f,,,,6sJd4h2h,-100|100,shabalin.ivan.2,DeepStack 
f,,,,6dTd4h9c,50|-50,DeepStack,shabalin.ivan.2 
r300c,cr900f,,,2hKc6h5s8h9c3h,-300|300,shabalin.ivan.2,DeepStack 
r300f,,,,4d9hJdQc,-100|100,DeepStack,shabalin.ivan.2 
r300f,,,,3hQcJcTc,-100|100,shabalin.ivan.2,DeepStack 
cr300c,r600r1800f,,,8s6c5s7sKsTsQs,-600|600,DeepStack,shabalin.ivan.2 
r300c,cr600c,r1600f,,9hKs8s5c2s2c3hJs,600|-600,shabalin.ivan.2,DeepStack 
r250f,,,,3c9hQh5c,-100|100,DeepStack,shabalin.ivan.2 
r300r900f,,,,4c4sJs5d,300|-300,shabalin.ivan.2,DeepStack 
f,,,,3s5s7d4c,50|-50,DeepStack,shabalin.ivan.2 
k,cr300f,,,3h4c5d9c8s7c9s,-100|100,shabalin.ivan.2,DeepStack 
cr300f,,,,8s9s2sQh,100|-100,DeepStack,shabalin.ivan.2 
r300r900c,r2250c,r4500c,cr20000f,Ac8c4h3h3sJsTc6c8s,-4500|4500,shabalin.ivan.2,DeepStack 
r300c,cr750c,k,cr1875r3750c,Ad2hJdKd3c5cKh9h3h,-3750|3750,DeepStack,shabalin.ivan.2 
r200f,,,,4h9sKh4d,-100|100,shabalin.ivan.2,DeepStack 
k,k,cr300c,k,9h4h3s5s4sQcQhAsJc,300|-300,DeepStack,shabalin.ivan.2 
k,r300f,,,6c9cJs3dAc8d9s,100|-100,shabalin.ivan.2,DeepStack 
k,cr300c,k,k,2h5d2s3sKc5h7h3h4c,300|-300,DeepStack,shabalin.ivan.2 
cr300f,,,,2dAd3s6d,100|-100,shabalin.ivan.2,DeepStack 
r250r750f,,,,QdQc6sTs,250|-250,DeepStack,shabalin.ivan.2 
k,cr200c,k,r600c,7cJh3sKc4h4c4dKdKh,-600|600,shabalin.ivan.2,DeepStack 
r300f,,,,Kc5hJs9h,-100|100,DeepStack,shabalin.ivan.2 
r200f,,,,5s8c3cAc,-100|100,shabalin.ivan.2,DeepStack 
r250f,,,,2cQdJs4c,-100|100,DeepStack,shabalin.ivan.2 
r200c,k,k,k,4d2hQd7s6dAs2cJd3c,200|-200,shabalin.ivan.2,DeepStack 
r300c,cr750f,,,6cKhTh6d9dTc7d,-300|300,DeepStack,shabalin.ivan.2 
k,cr300f,,,Jd2c2dTs8d5c6d,-100|100,shabalin.ivan.2,DeepStack 
r300f,,,,Js7hJh4h,-100|100,DeepStack,shabalin.ivan.2 
cr300r900f,,,,9cJsQsTh,-300|300,shabalin.ivan.2,DeepStack 
k,cr300c,k,k,Jh5d6h7c5c8hAhQhKc,300|-300,DeepStack,shabalin.ivan.2 
r200c,cr400f,,,Th4h3hAh3dJcQh,-200|200,shabalin.ivan.2,DeepStack 
r300c,k,cr900c,cr2700f,7sQsAh4dQh5hTh4h3d,-900|900,DeepStack,shabalin.ivan.2 
f,,,,9sQd2s7c,50|-50,shabalin.ivan.2,DeepStack 
k,cr300f,,,2hTd2cJhKd3c9c,-100|100,DeepStack,shabalin.ivan.2 
cr300f,,,,KhAcTh5d,100|-100,shabalin.ivan.2,DeepStack 
r300c,cr750f,,,Qh7c8h8c4d3h3d,-300|300,DeepStack,shabalin.ivan.2 
cr300c,r750c,cr1500f,,7d7h5dJdQs5cTc3c,-750|750,shabalin.ivan.2,DeepStack 
k,cr250c,k,r750r1750c,8c5d5s8s2d3s6c9s7s,-1750|1750,DeepStack,shabalin.ivan.2 
r200f,,,,4sTh4c4h,-100|100,shabalin.ivan.2,DeepStack 
r300c,cr750c,k,r2250f,KsJd4c4h2h9cQhAh8h,750|-750,DeepStack,shabalin.ivan.2 
r300f,,,,7c2dAhJd,-100|100,shabalin.ivan.2,DeepStack 
r300f,,,,9s3cQh8c,-100|100,DeepStack,shabalin.ivan.2 
k,cr300c,k,k,4c6h3d6c3c7h9dTdJs,-300|300,shabalin.ivan.2,DeepStack 
cr300c,k,cr750c,k,8sQsQd2s4h3dKsAs8d,750|-750,DeepStack,shabalin.ivan.2 
f,,,,8hAh2d5h,50|-50,shabalin.ivan.2,DeepStack 
r300c,r900c,r1800c,r3600c,4c9cAdQdQc2s3h5d6d,3600|-3600,DeepStack,shabalin.ivan.2 
k,k,r300c,r900f,2sTh4hJs4d5hKcAc3s,300|-300,shabalin.ivan.2,DeepStack 
r300f,,,,9c5s3c3d,-100|100,DeepStack,shabalin.ivan.2 
k,k,r300f,,7h2sKc3s9c4dTh6h,100|-100,shabalin.ivan.2,DeepStack 
r300r900f,,,,AsQs3dTd,300|-300,DeepStack,shabalin.ivan.2 
k,k,r300f,,7hJc3c5h4hKsQc9h,100|-100,shabalin.ivan.2,DeepStack 
r300f,,,,Kh4d7d7h,-100|100,DeepStack,shabalin.ivan.2 
r200c,cr400c,cr1200c,k,JdKc5cQdAs9cTcKh4d,1200|-1200,shabalin.ivan.2,DeepStack 
k,cr300f,,,8cJdQc4dTdKc5d,-100|100,DeepStack,shabalin.ivan.2 
k,k,r300r900f,,Qh4h9cJs4d8cAs7d,-300|300,shabalin.ivan.2,DeepStack 
cr300c,cr750f,,,Kd4d5cTsAh9hTc,-300|300,DeepStack,shabalin.ivan.2 
r300f,,,,8s7d3sQc,-100|100,shabalin.ivan.2,DeepStack 
k,cr300c,k,cr750f,2cQc6cTh6hQhJcAsKh,-300|300,DeepStack,shabalin.ivan.2 
r300f,,,,Tc7sKc6d,-100|100,shabalin.ivan.2,DeepStack 
k,cr300f,,,4cJs8d5h5d9dTc,-100|100,DeepStack,shabalin.ivan.2 
r200r600f,,,,9dAd6hQc,200|-200,shabalin.ivan.2,DeepStack 
r250c,k,k,k,Kh8cKdAhQh3d5sTs7h,-250|250,DeepStack,shabalin.ivan.2 
r200c,k,k,cr1000f,3dAc4s6cKd9sQc7cJc,-200|200,shabalin.ivan.2,DeepStack 
r300f,,,,5cJs4cAc,-100|100,DeepStack,shabalin.ivan.2 
r300c,cr900c,k,r2700f,JhKc8h5c4cQc6cTc2h,900|-900,shabalin.ivan.2,DeepStack 
r300f,,,,5sKdAh4c,-100|100,DeepStack,shabalin.ivan.2 
r300f,,,,7h9sQhQd,-100|100,shabalin.ivan.2,DeepStack 
k,cr300f,,,5d7c6d4s4h9sQs,-100|100,DeepStack,shabalin.ivan.2 
