PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
cr300c,r900c,r2100f,,8dAhKc7c6s8h9c2h,900|-900,lesnoy.dmitry.1,DeepStack 
cr200c,r500c,k,cr1500c,QsJsTc4h9d4d4c6hQd,-1500|1500,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200r1800f,,,Th8hJd5dQh5c3c,-1200|1200,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,k,3d4dKhAdAcQc5s3cJc,-750|750,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200f,,,Kd5d4cJcQc7s5s,600|-600,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,r800f,,3h4hJh2h9hAd2s3s,400|-400,lesnoy.dmitry.1,DeepStack 
f,,,,6dQd8s3d,50|-50,DeepStack,lesnoy.dmitry.1 
r300r600c,r1500r3000c,k,k,6s2s4d5sQc3d4sKhTc,-3000|3000,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1200c,cr3000f,,7c7s8hQdQsQhTsTh,-1200|1200,DeepStack,lesnoy.dmitry.1 
k,r200f,,,3h7dQc2cAh5h4h,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr300c,k,k,As6h7d8s6cTdTs3s2s,300|-300,DeepStack,lesnoy.dmitry.1 
k,k,r200c,cr600f,4c3cJc2hTd7s8c9dQd,-200|200,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,4dQs9h8s7h9cTc,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200c,k,cr600c,2hAhTd8dJh4d2s3dAs,600|-600,lesnoy.dmitry.1,DeepStack 
f,,,,4c3hTh2s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,3c2s2h7s,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,Js6h2s4sKc3cAd,-200|200,DeepStack,lesnoy.dmitry.1 
f,,,,JsTd2s9d,50|-50,lesnoy.dmitry.1,DeepStack 
r200r600f,,,,TdJdQc2s,200|-200,DeepStack,lesnoy.dmitry.1 
k,r200r600f,,,Jd8c4d5h6hKdTd,-200|200,lesnoy.dmitry.1,DeepStack 
r250c,k,cr625c,cr1562r3124c,Ts8hJcTcTdThAs4h5h,-3124|3124,DeepStack,lesnoy.dmitry.1 
