PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
k,k,cr200f,,2s6h3s5sThKh4hKd,-100|100,laak.phil.4,DeepStack 
r300c,r655c,r1576f,,6d6sKs6c6hAc9hTc,655|-655,laak.phil.3,DeepStack 
f,,,,7cJs5dTs,50|-50,DeepStack,laak.phil.1 
r300f,,,,5d4cTc9c,-100|100,DeepStack,laak.phil.4 
r200r600f,,,,JhJcJs5c,200|-200,DeepStack,laak.phil.3 
cr200c,k,k,r512c,TdQhTh2sJcJs9sTc5d,512|-512,laak.phil.1,DeepStack 
k,cr200c,k,r738f,2h3d2sJc3c3s2cAs9s,200|-200,laak.phil.4,DeepStack 
r300r1111c,r2223c,cr6669f,,5d7dJh9h9sAs8cTs,-2223|2223,laak.phil.3,DeepStack 
k,cr200c,k,cr455f,9dQc6cAs4h6dJc7d7h,-200|200,DeepStack,laak.phil.4 
r244r732c,r1464f,,,AdAsKhJd3dAc9c,732|-732,DeepStack,laak.phil.1 
r200c,k,cr485f,,Kh2h5dAh6s5h9cAc,-200|200,DeepStack,laak.phil.3 
r300r1000f,,,,QsKdTc7d,300|-300,laak.phil.3,DeepStack 
cr200c,r401c,k,cr1203f,2cAs2sThTsJc2d6hQc,-401|401,laak.phil.4,DeepStack 
r200c,r412r824f,,,6c8dAsTd8hTs4s,-412|412,laak.phil.1,DeepStack 
r300c,cr688f,,,8dKsAdQhTd9sAc,-300|300,DeepStack,laak.phil.3 
r300r900c,r1800c,k,cr3133c,QdQhAsQcKdKc5c6h5d,3133|-3133,DeepStack,laak.phil.1 
r300c,k,k,cr900c,3dAc6cTs2sKdQd4d3h,900|-900,laak.phil.1,DeepStack 
r300c,cr600f,,,TsJh3cKd6d3hQd,-300|300,laak.phil.3,DeepStack 
r285c,cr473c,cr947c,r1894f,8s9hAh3h5s7hQc2d9d,947|-947,DeepStack,laak.phil.4 
r202c,k,r404f,,Kh5s2cAc9s8s2d6s,202|-202,DeepStack,laak.phil.1 
r300r900c,cr1455c,k,r4365c,8cAcQcKh6dQs6hAd5s,4365|-4365,DeepStack,laak.phil.3 
r200f,,,,6h2cQhKh,-100|100,laak.phil.3,DeepStack 
cr300c,r602r1204f,,,2h5h6hQh9h9s4s,-602|602,laak.phil.4,DeepStack 
r300c,r599c,r1197r3591c,cr20000c,4sAd8hTh4dAc9s7c2d,20000|-20000,laak.phil.1,DeepStack 
f,,,,6d9c5h3s,50|-50,DeepStack,laak.phil.3 
r300f,,,,3s2h3cKd,-100|100,laak.phil.3,DeepStack 
f,,,,TcQs3h9s,50|-50,DeepStack,laak.phil.3 
r200c,r400c,k,k,Jh3h8d2d3d8sAs7h4c,-400|400,DeepStack,laak.phil.4 
r200r300c,r588f,,,Jd6d3d4sJs8s8h,300|-300,laak.phil.3,DeepStack 
r200c,k,cr404f,,Th2h2sQh6s7s4h6d,-200|200,DeepStack,laak.phil.1 
cr300f,,,,4h9hTs3c,100|-100,laak.phil.4,DeepStack 
f,,,,8dJh2s3d,50|-50,DeepStack,laak.phil.3 
cr200c,k,r411f,,As6cJc3dQs9d6h7c,200|-200,laak.phil.1,DeepStack 
f,,,,JhKd5s8c,50|-50,DeepStack,laak.phil.4 
f,,,,5s3d2s4h,50|-50,laak.phil.3,DeepStack 
r200c,k,cr401f,,Ah7dQh6cKs9c2s8h,-200|200,DeepStack,laak.phil.3 
r300r1650f,,,,4d2d5s8c,300|-300,laak.phil.4,DeepStack 
r202r606c,r1211f,,,2c2s3hKhAd8c4h,606|-606,DeepStack,laak.phil.4 
r202c,cr357c,k,r714f,7hTdKcTs8s3c4h9s7c,357|-357,DeepStack,laak.phil.1 
r300f,,,,Td2h4dJc,-100|100,laak.phil.3,DeepStack 
f,,,,Kc8c2h9s,50|-50,DeepStack,laak.phil.3 
k,k,r211f,,Js5hTs4h8cQd7c6c,100|-100,laak.phil.4,DeepStack 
r300c,k,k,r801c,9c8dJhJsAh6dQd8h5s,-801|801,laak.phil.3,DeepStack 
r200f,,,,7h3sAh2h,-100|100,DeepStack,laak.phil.4 
r300f,,,,4d3h4sQh,-100|100,laak.phil.1,DeepStack 
r300r1222c,k,r2843f,,8s9s7cJc3s4d2hQh,1222|-1222,laak.phil.4,DeepStack 
r200f,,,,2sTd5sQc,-100|100,DeepStack,laak.phil.1 
r250c,cr498c,cr1609c,cr8409f,AhTd7s7c7d4dKcJhKd,-1609|1609,DeepStack,laak.phil.3 
r300c,k,r606c,cr1211f,As6dKdJd5s9s7hKs3d,-606|606,laak.phil.1,DeepStack 
r200r600f,,,,JdQs3hQc,200|-200,DeepStack,laak.phil.4 
cr288c,cr576c,k,r1131c,JdKc6s4hQd4c3hJc2d,1131|-1131,laak.phil.4,DeepStack 
r200r899c,k,r3154c,r20000f,KdAd8cQc4d8h5s3d6d,3154|-3154,laak.phil.3,DeepStack 
r200r600f,,,,KhKc7sQc,200|-200,DeepStack,laak.phil.1 
f,,,,4sAcTc2h,50|-50,DeepStack,laak.phil.4 
r300c,cr900f,,,4h7hJdKhJcAcTh,-300|300,laak.phil.1,DeepStack 
f,,,,7c5dTs4c,50|-50,DeepStack,laak.phil.3 
r300c,cr599c,cr1497c,cr5708f,TsKcAhKsQcAsKd3s4c,-1497|1497,DeepStack,laak.phil.1 
r300c,cr600c,cr1200r2521c,r3842f,9sKd7s7hKhKs6s2c6c,2521|-2521,laak.phil.4,DeepStack 
cr300c,r565c,r1375c,r3785f,AdTs6cJcAs6sThKc7d,1375|-1375,laak.phil.3,DeepStack 
f,,,,2cQd5h9s,50|-50,DeepStack,laak.phil.3 
r300r900c,cr1799c,cr3590c,r7180c,9cQcThAhTd8hTc2s7d,-7180|7180,DeepStack,laak.phil.4 
r300c,cr600c,r1212c,k,9cQh6c8h8sJsJc7d2h,-1212|1212,laak.phil.1,DeepStack 
r300c,cr600c,cr1200f,,Ah7h7cJh6d6h5sQd,-600|600,laak.phil.3,DeepStack 
r200c,cr404c,k,r20000f,Kd3d2c8c5h3h2d9d8d,404|-404,DeepStack,laak.phil.3 
r300f,,,,2h3sJs5h,-100|100,laak.phil.4,DeepStack 
r300f,,,,8d3c4dTd,-100|100,DeepStack,laak.phil.4 
r300f,,,,6c2d7hTc,-100|100,laak.phil.4,DeepStack 
f,,,,JcAc4s9h,50|-50,DeepStack,laak.phil.1 
r200c,k,r400c,r800r2755f,As5hTd8hJc3c5sJd4c,-800|800,DeepStack,laak.phil.4 
k,k,k,k,4cKs4h9d4d3h5sJhAh,100|-100,laak.phil.1,DeepStack 
r300c,k,k,k,2c6cTsAs3dQhJhQs2h,300|-300,laak.phil.3,DeepStack 
r300f,,,,2c3s7hJc,-100|100,laak.phil.4,DeepStack 
r200c,k,r400c,k,7h5c7sKhJc6d2c5h9c,400|-400,DeepStack,laak.phil.3 
r300c,cr900f,,,6cQc9h6hJhTd2h,-300|300,DeepStack,laak.phil.4 
r311c,cr955f,,,AcTh8c9s7sJd5d,-311|311,DeepStack,laak.phil.1 
r200r300c,k,r601c,k,5c5d8s4s8h6dKdQh9c,-601|601,laak.phil.4,DeepStack 
f,,,,7h7d3c2d,50|-50,laak.phil.1,DeepStack 
r222r666f,,,,Jd8d9s3s,222|-222,DeepStack,laak.phil.1 
k,cr300f,,,9c6d6hKc4s7dKh,-100|100,laak.phil.3,DeepStack 
f,,,,Qh9s3s5d,50|-50,DeepStack,laak.phil.4 
cr200c,cr400c,cr800f,,5sKdTd8d5d7c8sTc,-400|400,laak.phil.1,DeepStack 
r300f,,,,6hTd6c5c,-100|100,laak.phil.4,DeepStack 
f,,,,Qs3s3hTd,50|-50,DeepStack,laak.phil.3 
cr300c,r445c,k,k,7d8d7cJcKc9s2sAh8c,445|-445,laak.phil.3,DeepStack 
r300c,cr455c,k,cr3666f,6sKdKh2hAc6c8sJd4c,-455|455,DeepStack,laak.phil.4 
r202r606c,r1211f,,,AhKhKc7c4hJhTc,606|-606,DeepStack,laak.phil.1 
r202r606c,r1211f,,,QdTs5sKs3d3h4d,606|-606,DeepStack,laak.phil.3 
cr202c,cr404f,,,8d5dJc2d2sTcQd,-202|202,laak.phil.4,DeepStack 
r300r500r1000c,k,k,cr5000f,Kh6hAsQd3cAd3s3d9s,-1000|1000,laak.phil.3,DeepStack 
