marlon_luck,marly_luck,marlon_skill,marly_skill,marlon_chip,marly_chip,marlon_gain,marly_gain
445.4545455,-445.4545455,454.5454545,-454.5454545,20900,19100,900,-900
-445.4545455,445.4545455,145.4545455,-145.4545455,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-181.8181818,181.8181818,-118.1818182,118.1818182,19700,20300,-300,300
-163.6363636,163.6363636,-136.3636364,136.3636364,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
181.8181818,-181.8181818,718.1818182,-718.1818182,20900,19100,900,-900
100,-100,200,-200,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
127.2727273,-127.2727273,772.7272727,-772.7272727,20900,19100,900,-900
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
227.2727273,-227.2727273,72.72727273,-72.72727273,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-143.5353535,143.5353535,-456.4646465,456.4646465,19400,20600,-600,600
162.2222222,-162.2222222,437.7777778,-437.7777778,20600,19400,600,-600
-100,100,-200,200,19700,20300,-300,300
100,-80.26666667,800,-819.7333333,20900,19100,900,-900
-383.8383838,383.8383838,-216.1616162,216.1616162,19400,20600,-600,600
163.9393939,-163.9393939,436.0606061,-436.0606061,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-3.55E-15,7.11E-15,0,0,20000,20000,0,0
-397.7777778,397.7777778,-2302.222222,2302.222222,17300,22700,-2700,2700
-70.93939394,107.2727273,-529.0606061,492.7272727,19400,20600,-600,600
-127.2727273,127.2727273,-172.7272727,172.7272727,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
372.7272727,-372.7272727,527.2727273,-527.2727273,20900,19100,900,-900
