"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"342",-100,100,0,0,19900,20100,10
"343",192.929292929293,-192.929292929293,2507.07070707071,-2507.07070707071,22700,17300,10
"344",100,-100,200,-200,20300,19700,10
"345",-136.363636363636,136.363636363636,-163.636363636364,163.636363636364,19700,20300,10
"346",-409.090909090909,409.090909090909,109.090909090909,-109.090909090909,19700,20300,10
"347",100,-100,200,-200,20300,19700,10
"348",-100,100,0,0,19900,20100,10
"349",-100,100,-200,200,19700,20300,10
"350",0,0,0,0,20000,20000,10
"351",181.818181818182,-181.818181818182,118.181818181818,-118.181818181818,20300,19700,10
"352",-163.636363636364,163.636363636364,-736.363636363636,736.363636363636,19100,20900,10
"353",163.636363636364,-163.636363636364,736.363636363636,-736.363636363636,20900,19100,10
"354",222.020202020202,-222.020202020202,2477.9797979798,-2477.9797979798,22700,17300,10
"355",-100,100,-200,200,19700,20300,10
"356",-100,100,-800,800,19100,20900,10
"357",133.636363636364,-133.636363636364,66.3636363636363,-66.3636363636364,20200,19800,10
"358",200,-200,700,-700,20900,19100,10
"359",100,-100,200,-200,20300,19700,10
"360",331.937373737374,-328.00404040404,2068.06262626263,-2071.99595959596,22400,17600,10
"361",185.757575757576,-185.757575757576,1614.24242424242,-1614.24242424242,21800,18200,10
"362",-263.131313131313,263.131313131313,-1536.86868686869,1536.86868686869,18200,21800,10
"363",-281.717171717172,281.717171717172,-1518.28282828283,1518.28282828283,18200,21800,10
"364",136.363636363636,-136.363636363636,763.636363636364,-763.636363636364,20900,19100,10
"365",100,-100,200,-200,20300,19700,10
"366",-100,100,-200,200,19700,20300,10
"367",-100,100,0,0,19900,20100,10
"368",-100,100,-200,200,19700,20300,10
"369",-100,100,0,0,19900,20100,10
"370",-100,100,0,0,19900,20100,10
"371",-100,100,0,0,19900,20100,10
"372",224.444444444445,-224.444444444444,2475.55555555556,-2475.55555555556,22700,17300,10
"373",100,-100,800,-800,20900,19100,10
"374",-227.272727272727,227.272727272727,-72.7272727272727,72.7272727272727,19700,20300,10
"375",-100,100,0,0,19900,20100,10
"376",118.181818181818,-118.181818181818,781.818181818182,-781.818181818182,20900,19100,10
"377",242.222222222222,-221.388888888889,2457.77777777778,-2478.61111111111,22700,17300,10
"378",100,-100,0,0,20100,19900,10
"379",-100,100,0,0,19900,20100,10
"380",-445.454545454545,445.454545454545,-454.545454545455,454.545454545455,19100,20900,10
"381",102.222222222222,-65.4888888888889,97.7777777777778,-134.511111111111,20200,19800,10
"382",100,-95.2333333333333,200,-204.766666666667,20300,19700,10
"383",372.727272727273,-372.727272727273,527.272727272727,-527.272727272727,20900,19100,10
"384",-100,100,0,0,19900,20100,10
"385",-100,100,-800,800,19100,20900,10
"386",-100,100,0,0,19900,20100,10
"387",100,-100,0,0,20100,19900,10
"388",136.767676767677,-136.767676767677,463.232323232323,-463.232323232323,20600,19400,10
"389",-141.515151515152,141.515151515152,-458.484848484848,458.484848484848,19400,20600,10
"390",-100,100,0,0,19900,20100,10
"391",107.676767676768,-107.676767676768,2592.32323232323,-2592.32323232323,22700,17300,10
"392",100,-100,0,0,20100,19900,10
"393",105.959595959596,-105.959595959596,494.040404040404,-494.040404040404,20600,19400,10
"394",100,-100,200,-200,20300,19700,10
"395",-145.454545454545,145.454545454545,-154.545454545455,154.545454545455,19700,20300,10
"396",115.959595959596,-99.3929292929293,484.040404040404,-500.607070707071,20600,19400,10
"397",176.161616161616,-176.161616161616,423.838383838384,-423.838383838384,20600,19400,10
"398",266.5,-266.5,133.5,-133.5,20400,19600,10
"399",-761.616161616162,761.616161616162,-1038.38383838384,1038.38383838384,18200,21800,10
"400",789.292929292929,-789.292929292929,1010.70707070707,-1010.70707070707,21800,18200,10
"401",148.080808080808,-148.080808080808,451.919191919192,-451.919191919192,20600,19400,10
"402",100,-100,0,0,20100,19900,10
"403",183.030303030303,-183.030303030303,416.969696969697,-416.969696969697,20600,19400,10
"404",127.272727272727,-127.272727272727,772.727272727273,-772.727272727273,20900,19100,10
"405",-100,100,-200,200,19700,20300,10
