"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"352",-109.69696969697,109.69696969697,-190.30303030303,190.30303030303,19700,20300,7
"353",-38.3838383838384,38.3838383838384,-61.6161616161616,61.6161616161616,19900,20100,5
"354",-80,80,-20,20,19900,20100,5
"355",-13.5353535353535,13.5353535353535,-86.4646464646465,86.4646464646465,19900,20100,5
"356",-352.412121212121,352.412121212121,-659.587878787879,659.587878787879,18988,21012,10
"357",37.1,-37.1,62.9,-62.9,20100,19900,2
"358",-893.131313131313,905.69797979798,-906.868686868687,894.30202020202,18200,21800,10
"359",100,-100,0,0,20100,19900,10
"360",-103.030303030303,103.030303030303,-1696.9696969697,1696.9696969697,18200,21800,10
"361",-73.1313131313131,73.1313131313131,-26.8686868686869,26.8686868686869,19900,20100,5
"362",100,-100,17000,-17000,37100,2900,10
"363",227.272727272727,-227.272727272727,72.7272727272727,-72.7272727272727,20300,19700,10
"364",-6253.79393939394,6253.79393939394,-13746.2060606061,13746.2060606061,1.81898940354586e-12,40000,7
"365",43.4343434343434,-43.4343434343434,56.5656565656566,-56.5656565656566,20100,19900,4
"366",21.2121212121212,-21.2121212121212,78.7878787878788,-78.7878787878788,20100,19900,4
"367",50.6060606060606,-50.6060606060606,-20050.6060606061,20050.6060606061,0,40000,5
"368",54.5454545454545,-54.5454545454545,45.4545454545455,-45.4545454545455,20100,19900,6
"369",6.21724893790088e-15,-6.21724893790088e-15,0,0,20000,20000,10
"370",-100,100,-200,200,19700,20300,10
"371",-147.474747474747,147.474747474747,-452.525252525253,452.525252525253,19400,20600,10
"372",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,20100,19900,4
"373",-100,100,-19900,19900,0,40000,9
"374",444.89898989899,-444.89898989899,3605.10101010101,-3605.10101010101,24050,15950,10
"375",2107.07070707071,-2107.07070707071,-22107.0707070707,22107.0707070707,0,40000,9
"376",100,-100,0,0,20100,19900,6
"377",101.515151515152,-101.515151515152,-20101.5151515152,20101.5151515152,0,40000,9
