marly_luck,martin_luck,marly_skill,martin_skill,marly_chip,martin_chip,marly_gain,martin_gain
224.8484848,-224.8484848,375.1515152,-375.1515152,20600,19400,600,-600
402.8282828,-387.8949495,2297.171717,-2312.105051,22700,17300,2700,-2700
-133.5353535,133.5353535,-66.46464646,66.46464646,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
-117.1717172,117.1717172,-82.82828283,82.82828283,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
195.7575758,-195.7575758,4.242424242,-4.242424242,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
108.4454545,-107.8787879,91.55454545,-92.12121212,20200,19800,200,-200
-111.1111111,111.1111111,-1688.888889,1688.888889,18200,21800,-1800,1800
-247.4747475,247.4747475,-1552.525253,1552.525253,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
154.4444444,-154.4444444,45.55555556,-45.55555556,20200,19800,200,-200
-262.5656566,262.5656566,-6487.434343,6487.434343,13250,26750,-6750,6750
123.2323232,-123.2323232,276.7676768,-276.7676768,20400,19600,400,-400
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
146.0606061,-146.0606061,453.9393939,-453.9393939,20600,19400,600,-600
-140.7070707,140.7070707,-459.2929293,459.2929293,19400,20600,-600,600
-100,100,-800,800,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
-109.4949495,109.4949495,-1690.505051,1690.505051,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
-195.959596,195.959596,-4.04040404,4.04040404,19800,20200,-200,200
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-392.9292929,392.9292929,-2307.070707,2307.070707,17300,22700,-2700,2700
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
282.020202,-282.020202,317.979798,-317.979798,20600,19400,600,-600
269.8989899,-269.8989899,-69.8989899,69.8989899,20200,19800,200,-200
-100,100,-200,200,19700,20300,-300,300
-123.3333333,123.3333333,-76.66666667,76.66666667,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
-231.8181818,231.8181818,-368.1818182,368.1818182,19400,20600,-600,600
304.1823232,-304.1823232,195.8176768,-195.8176768,20500,19500,500,-500
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-212.5333333,212.5333333,-87.46666667,87.46666667,19700,20300,-300,300
-154.7474747,154.7474747,-245.2525253,245.2525253,19600,20400,-400,400
-100,100,-100,100,19800,20200,-200,200
-140,140,-460,460,19400,20600,-600,600
-225.2525253,225.2525253,-2474.747475,2474.747475,17300,22700,-2700,2700
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-120.4040404,120.4040404,-479.5959596,479.5959596,19400,20600,-600,600
-142.4242424,142.4242424,-457.5757576,457.5757576,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
0,0,0,0,20000,20000,0,0
-49.5959596,49.5959596,49.5959596,-49.5959596,20000,20000,0,0
409.0909091,-409.0909091,490.9090909,-490.9090909,20900,19100,900,-900
-100,100,0,0,19900,20100,-100,100
100,-100,100,-100,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-101.0212121,102.1212121,-98.97878788,97.87878788,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-325.6565657,325.6565657,-1474.343434,1474.343434,18200,21800,-1800,1800
467.6863636,-467.6863636,32.31363636,-32.31363636,20500,19500,500,-500
100,-100,0,0,20100,19900,100,-100
-121.8181818,121.8181818,-2578.181818,2578.181818,17300,22700,-2700,2700
-131.9191919,131.9191919,-268.0808081,268.0808081,19600,20400,-400,400
-220,220,-1580,1580,18200,21800,-1800,1800
100,-100,200,-200,20300,19700,300,-300
-263.5353535,263.9020202,-336.4646465,336.0979798,19400,20600,-600,600
100,-100,100,-100,20200,19800,200,-200
-153.9393939,153.9393939,-1646.060606,1646.060606,18200,21800,-1800,1800
117.0666667,-100,-17.06666667,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-150.5050505,150.5050505,-249.4949495,249.4949495,19600,20400,-400,400
100,-100,0,0,20100,19900,100,-100
100,-100,100,-100,20200,19800,200,-200
-137.1717172,137.1717172,-462.8282828,462.8282828,19400,20600,-600,600
-122.020202,122.020202,-77.97979798,77.97979798,19800,20200,-200,200
-150.7070707,150.7070707,-49.29292929,49.29292929,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
-257.979798,257.979798,-2442.020202,2442.020202,17300,22700,-2700,2700
